country_name,capital,languages
Moldova,Chișinău,Romanian
Comoros,Moroni,Arabic| French| Comorian
Malaysia,Kuala Lumpur,English| Malay
Algeria,Algiers,Arabic
Slovenia,Ljubljana,Slovene
Guyana,Georgetown,English
France,Paris,French
Denmark,Copenhagen,Danish
Kazakhstan,Astana,Kazakh| Russian
Vanuatu,Port Vila,Bislama| English| French
Ukraine,Kyiv,Ukrainian
Liechtenstein,Vaduz,German
Austria,Vienna,German
Kuwait,Kuwait City,Arabic
Andorra,Andorra la Vella,Catalan
Botswana,Gaborone,English| Tswana
United Arab Emirates,Abu Dhabi,Arabic
Cameroon,Yaoundé,English| French
Russia,Moscow,Russian
Jamaica,Kingston,English| Jamaican Patois
Djibouti,Djibouti,Arabic| French
Kenya,Nairobi,English| Swahili
Belize,Belmopan,Belizean Creole| English| Spanish
Myanmar,Naypyidaw,Burmese
Singapore,Singapore,English| Chinese| Malay| Tamil
Slovakia,Bratislava,Slovak
Iceland,Reykjavik,Icelandic
Bhutan,Thimphu,Dzongkha
North Macedonia,Skopje,Macedonian
Guinea,Conakry,French
Malta,Valletta,English| Maltese
Afghanistan,Kabul,Dari| Pashto| Turkmen
United States,"Washington, D.C.",English
Suriname,Paramaribo,Dutch
Vatican City,Vatican City,Italian| Latin
Papua New Guinea,Port Moresby,English| Hiri Motu| Tok Pisin
Malawi,Lilongwe,English| Chewa
Hungary,Budapest,Hungarian
Cambodia,Phnom Penh,Khmer
Ecuador,Quito,Spanish
Canada,Ottawa,English| French
Norway,Oslo,Norwegian Nynorsk| Norwegian Bokmål| Sami
Mali,Bamako,French
Samoa,Apia,English| Samoan
Fiji,Suva,English| Fijian| Fiji Hindi
Colombia,Bogotá,Spanish
Cuba,Havana,Spanish
Thailand,Bangkok,Thai
Mongolia,Ulan Bator,Mongolian
Guinea-Bissau,Bissau,Portuguese| Upper Guinea Creole
Argentina,Buenos Aires,Guaraní| Spanish
Mexico,Mexico City,Spanish
Turkmenistan,Ashgabat,Russian| Turkmen
Ethiopia,Addis Ababa,Amharic
Gabon,Libreville,French
South Korea,Seoul,Korean
Togo,Lomé,French
Ghana,Accra,English
Zambia,Lusaka,English
New Zealand,Wellington,English| Māori| New Zealand Sign Language
Laos,Vientiane,Lao
Burundi,Gitega,French| Kirundi
Pakistan,Islamabad,English| Urdu
Armenia,Yerevan,Armenian
Czechia,Prague,Czech| Slovak
San Marino,City of San Marino,Italian
São Tomé and Príncipe,São Tomé,Portuguese
Bahamas,Nassau,English
Finland,Helsinki,Finnish| Swedish
Guatemala,Guatemala City,Spanish
Sierra Leone,Freetown,English
Luxembourg,Luxembourg,German| French| Luxembourgish
Tuvalu,Funafuti,English| Tuvaluan
Eritrea,Asmara,Arabic| English| Tigrinya
Honduras,Tegucigalpa,Spanish
Senegal,Dakar,French
Nepal,Kathmandu,Nepali
Antigua and Barbuda,Saint John's,English
Cape Verde,Praia,Portuguese
Bangladesh,Dhaka,Bengali
Kyrgyzstan,Bishkek,Kyrgyz| Russian
Nigeria,Abuja,English
Spain,Madrid,Spanish| Catalan| Basque| Galician
Marshall Islands,Majuro,English| Marshallese
Qatar,Doha,Arabic
Venezuela,Caracas,Spanish
Tunisia,Tunis,Arabic
Monaco,Monaco,French
Central African Republic,Bangui,French| Sango
Latvia,Riga,Latvian
Uzbekistan,Tashkent,Russian| Uzbek
Brazil,Brasília,Portuguese
Cyprus,Nicosia,Greek| Turkish
North Korea,Pyongyang,Korean
Dominica,Roseau,English
Bosnia and Herzegovina,Sarajevo,Bosnian| Croatian| Serbian
Sri Lanka,Sri Jayawardenepura Kotte,Sinhala| Tamil
Republic of the Congo,Brazzaville,French| Kikongo| Lingala
Israel,Jerusalem,Arabic| Hebrew
Namibia,Windhoek,Afrikaans| German| English| Herero| Khoekhoe| Kwangali| Lozi| Ndonga| Tswana
Micronesia,Palikir,English
South Sudan,Juba,English
Rwanda,Kigali,English| French| Kinyarwanda
Uganda,Kampala,English| Swahili
Portugal,Lisbon,Portuguese
Bolivia,Sucre,Aymara| Guaraní| Quechua| Spanish
Lesotho,Maseru,English| Sotho
Chad,N'Djamena,Arabic| French
Lithuania,Vilnius,Lithuanian
Montenegro,Podgorica,Montenegrin
Oman,Muscat,Arabic
Sudan,Khartoum,Arabic| English
Brunei,Bandar Seri Begawan,Malay
DR Congo,Kinshasa,French| Kikongo| Lingala| Tshiluba| Swahili
Greece,Athens,Greek
Albania,Tirana,Albanian
Tanzania,Dodoma,English| Swahili
Georgia,Tbilisi,Georgian
Japan,Tokyo,Japanese
Saudi Arabia,Riyadh,Arabic
Croatia,Zagreb,Croatian
Solomon Islands,Honiara,English
Yemen,Sana'a,Arabic
Somalia,Mogadishu,Arabic| Somali
Grenada,St. George's,English
Tonga,Nuku'alofa,English| Tongan
Nicaragua,Managua,Spanish
Paraguay,Asunción,Guaraní| Spanish
India,New Delhi,English| Hindi| Tamil
United Kingdom,London,English
Eswatini,Mbabane,English| Swazi
Madagascar,Antananarivo,French| Malagasy
Equatorial Guinea,Malabo,French| Portuguese| Spanish
Jordan,Amman,Arabic
Belarus,Minsk,Belarusian| Russian
Maldives,Malé,Maldivian
Timor-Leste,Dili,Portuguese| Tetum
Serbia,Belgrade,Serbian
Ireland,Dublin,English| Irish
Chile,Santiago,Spanish
Iraq,Baghdad,Arabic| Aramaic| Sorani
Philippines,Manila,English| Filipino
South Africa,Pretoria| Bloemfontein| Cape Town,Afrikaans| English| Southern Ndebele| Northern Sotho| Southern Sotho| Swazi| Tswana| Tsonga| Venda| Xhosa| Zulu
Benin,Porto-Novo,French
Bulgaria,Sofia,Bulgarian
Indonesia,Jakarta,Indonesian
Mauritania,Nouakchott,Arabic
Seychelles,Victoria,Seychellois Creole| English| French
Romania,Bucharest,Romanian
Turkey,Ankara,Turkish
Burkina Faso,Ouagadougou,French
Egypt,Cairo,Arabic
Vietnam,Hanoi,Vietnamese
Trinidad and Tobago,Port of Spain,English
Angola,Luanda,Portuguese
China,Beijing,Chinese
Costa Rica,San José,Spanish
Uruguay,Montevideo,Spanish
Morocco,Rabat,Arabic| Berber
Estonia,Tallinn,Estonian
Saint Lucia,Castries,English
Haiti,Port-au-Prince,French| Haitian Creole
Tajikistan,Dushanbe,Russian| Tajik
Niger,Niamey,French
Lebanon,Beirut,Arabic| French
Australia,Canberra,English
Liberia,Monrovia,English
Italy,Rome,Italian| Catalan
Nauru,Yaren,English| Nauru
Switzerland,Bern,French| Swiss German| Italian| Romansh
Peru,Lima,Aymara| Quechua| Spanish
Libya,Tripoli,Arabic
Germany,Berlin,German
Kosovo,Pristina,Albanian| Serbian
Bahrain,Manama,Arabic
Iran,Tehran,Persian (Farsi)
Panama,Panama City,Spanish
Syria,Damascus,Arabic
Saint Kitts and Nevis,Basseterre,English
Gambia,Banjul,English
Netherlands,Amsterdam,Dutch
El Salvador,San Salvador,Spanish
Ivory Coast,Yamoussoukro,French
Kiribati,South Tarawa,English| Gilbertese
Palau,Ngerulmud,English| Palauan
Saint Vincent and the Grenadines,Kingstown,English
Poland,Warsaw,Polish
Barbados,Bridgetown,English
Zimbabwe,Harare,Chibarwe| English| Kalanga| Khoisan| Ndau| Northern Ndebele| Chewa| Shona| Sotho| Tonga| Tswana| Tsonga| Venda| Xhosa| Zimbabwean Sign Language
Sweden,Stockholm,Swedish
Dominican Republic,Santo Domingo,Spanish
Belgium,Brussels,German| French| Dutch
Mozambique,Maputo,Portuguese
Mauritius,Port Louis,English| French| Mauritian Creole
Azerbaijan,Baku,Azerbaijani
